What,Link,Price (in $),Legal/Illegal/Depends,Why,Category,Seller,Positive feedback (of the seller),Negative feedback (of the seller),Number of stars,Number of posts,Ships from
Guide to earn 300 dollars daily,http://silkroad7rn2puhj.onion/?listing=VRdva57XDt1v2HeBGJfvwtYJd6Ovr8fBO0wp4tB8a2sS9MTFUz1EgOPAJbvzYR2n,2,Depends,It is not said whether the methodologies are legal or illegal. Therefore it is unknown if the guide is legal.,Books / Guides,BestResults15,293,63,1,71,Unspecified
Pills Valium Roche 10 MG,http://silkroad7rn2puhj.onion/?listing=OKwNk0bK4VJvPyWDgXW77YYcSfmjqJY4UJF4HhDB3OxFAHJgffdb435KXeuCpG78,65,Illegal,"Valium is a sleep or anxiety reducing drug that falls under the Opium Act in the Netherlands, which are illegal. ",Drugs,Meds2Buy,322,17,1,65,USA
The Hackers Underground Handbook Ebook (Cheapest Price),http://silkroad7rn2puhj.onion/?listing=XvQCy1QQOf6Jue05zvDQrxkoXfvdJnegXvjMmzayUV8C178qrA6Wye0K0vpHXJqu,5,Depends,If the documents is copied then it is illegal to sell it,Books / Guides,kingscan,24,0,0,50,Unspecified
HOWTO Make Counterfeit £20 BILLS!!,http://silkroad7rn2puhj.onion/?listing=ZV9Z0PFWVDqjhcptDk0zRwJP4dN3ZyHzJGPJWVesYKQ7n5prepewap0TGNMg0TVJ,2,Legal,"Teaching somebody how to make counterfeit bills its not illegal, only the counterfeiting the bills is",Books / Guides,IGotzIt,210,0,0,50,Unspecified
AK47 Izhmash 7.62x39mm Gun - Rifle,http://silkroad7rn2puhj.onion/?listing=nhsWKgPy3KfJVuWhB6ZpH5btNP5mVpT7N0TWfgKYrqgBZ4kay9D64fpFvhrEN0AY,800,Illegal,Firearms are prohibited in the Netherlands,Weapons,Darksales,203,186,1,47,USA
Cocaine 1 Gram ,http://silkroad7rn2puhj.onion/?listing=Y9bMrx61bGwoWWT0W6W3gySVGgWEGdCecdrJRm9tsuVDFoCcjZUEOnaUHwZQQcus,226,Illegal,Hard drugs including cocaine are illegal Netherlands.,Drugs,PCTEXPERT,765,0,2,47,Australia
Mushrooms 7 grams,http://silkroad7rn2puhj.onion/?listing=a2Y8BR9cqbw8UBsT3krawOjXYgYEcoh4d62fNz82Ruzkvf4nFjB3wmPKHoPmQwdu,50,Illegal,Mushrooms are illegal in the Netherlands since 2008.,Drugs,thepurps916,205,95,1,45,USA
Guide on company fraud,http://silkroad7rn2puhj.onion/?listing=CnW9qDxasR57f08Dwhtd1Y5NnwhAPxtSYDQDGCezTYwyYt3JRkoF9gTkS2kfoTyB,500,Legal,Teaching someone something is not necessarily illegal. However the methods that are described are illegal. So you can not use the guide.,Books / Guides,waxthtazz,2117,25,3,44,Unspecified
ROLEXSubmarine V3 40MM SABNfactory AAA+,http://silkroad7rn2puhj.onion/?listing=Vs6DO0Pejv1AopC3GMxFs263ZFwb3nANU7Rh7eBfP2g3fjvouhubYqTyvDPorQz0,60,Depends,"If the watch was illegally obtained (eg. stolen, or a fake) then it would be illegal. If in the rare chance that this watch was obtained in a legal way then it would be legal to buy and use it. ",Accessories ,sexyhomerr,55,0,0,44,USA
25 Debit & Creditcards,http://silkroad7rn2puhj.onion/?listing=XsZYzDhHySBYofBQJS740KRjGVfZRmuoSJAFNjOA2QYdvat5sqxrzDQ7ZvVqVESn,250,Illegal,"These are stolen credentials, which can even include SSN and DOB which are illegal to posess.",Data,monarchx,10875,199,5,41,Unspecified
Monarchs Guide (Info on Carding and Cashing out Hacked Paypal Ac,http://silkroad7rn2puhj.onion/?listing=2sWuUTkVUMYzC9zAcFnaTU6nh59EnmHdTdNnxx8F8W60Uu0wznMH6GvcAuhnVqEo,10,Legal,"Purchasing the guide is fine, however it may contain methodologies that are illegal to execute.",Books / Guides,monarchx,10875,199,5,41,Unspecified
AIR JORDAN IV RETRO,http://silkroad7rn2puhj.onion/?listing=eYOHoJ7hm4Ym9gm8XZFStUOjOcCpvUUPthWWrT4RMS3JydFM3MdkfrHtJMW4frHP,85,Illegal,"Shoes are one of the few clearly legal products in this list. However, they are stolen. Buying stolen goods is illegal",Accessories ,Cryptokrime,186,10,1,40,Germany
100% LEGAL SCREENSHOT PROOF MAKE A MILLION TRADING,http://silkroad7rn2puhj.onion/?listing=ytx7UU30Oud9r22oJe6HQeUq3tuUrtndbZawtTv7CP5tEwWOQRWewqKoY48DnkhD,22,Legal,Basically this guy sells some legal procedures to earn 1 million in dollars,Services,waxthtazz,2117,25,3,40,Unspecified
Human Growth Hormones,http://silkroad7rn2puhj.onion/?listing=6zB4KAz4ufTvakMRbvKMeUe491ENTt2Oh3Gs37knc4W3chJ4STExnjqkYvxsco60,1000,Illegal,"The hormone is naturally made by the body, however the hormone in pill form is a prescription medicine and therefore requires a prescription to posess.",Drugs,Randyk,40,0,0,38,USA
Professional Tazer  5000 KVolt  5.000.000 Volts,http://silkroad7rn2puhj.onion/?listing=TgpVwSBD9BTxHXseRyO4Fk0uhM3PwJgErMZbcaebcyPkK6EbuSUz3UhZeapRkMVQ,30,"Illegal
",5000 KVolt tasers are not allowed in NL.,Weapons,DutchDrugz,5668,38,4,35,Netherlands
Black Pearl 80% Indica Marijuana $14 per gram Top Shelf A+++,http://silkroad7rn2puhj.onion/?listing=6qMJc9QHNPxUCkD29U1TRAb6qk4Zwg1sMB1pAEwNUjgWJkOG5CaKD2Eta9HMe94r,14,Depends,"Marijuanna can be sold and obtained legally in the Netherlands, however there are certain restrictions. One of these restrictions is that no more than 5 grams must be sold, so in this case it may be considered as illegal.  ",Drugs,DeepWebDealers,1267,163,2,33,USA
1 gram SPEEDPASTE 73%,http://silkroad7rn2puhj.onion/?listing=AnNhK7pmKahKcwSQFu769GX1DwfSZa7aBH8NEmxQBVZdGruNZqGXxeO2QtHqHDEJ,8,Illegal,Hard drugs including speed/amphetamine are illegal in the Netherlands.,Drugs,speedygonzalez,3230,94,3,33,Netherlands
Single Strength Ejuice Bulk Private Listing 50ML,http://silkroad7rn2puhj.onion/?listing=F0CJuTpjOJpAznbpR86JnOSYxGJ7ATTGTVRCo5m2DP232TgHQcR2qhQcqZYqtrwA,250,Depends,Some of the ingredients might not be legal in the netherlands,Drugs,Emeraldgemini,2138,30,2,26,USA
Buddha Bites Edibles Werthers Caramel Edition,http://silkroad7rn2puhj.onion/?listing=a8R3Sw64pRrQntV8oNyAuY8N0Ag4JH7kFObY9XRoo83QqNNSZATHYQVYQ3SZAO9F,15,Depends,"We think these are drugs infused in caramel candy, but we couldn't figure out what drugs so it might be legal.",Drugs,Emeraldgemini,2138,30,3,26,USA
Ephedrine Hydrochloride 25mg x 25 Tablets (Weight Loss),http://silkroad7rn2puhj.onion/?listing=M9YBJhht4huSTaVgawhDeuJEqC88AcrNbEPkoxTfUCyncJJ35s7YaFcEJaBK4tWU,9,Legal,Ephidrine Hydrochloride is not regulated in the Netherlands and you are able to buy the same substance as a medicine to treat incontinention of animals.,Drugs,realuk,241,5,1,25,UK
Guide on how to bypass RDP authentication,http://silkroad7rn2puhj.onion/?listing=vYAT7j1GCtgJ0zRkbkCbmHwK6XbXD8yyVzGSX7Zaq7kpv1PMaRoAYZMTwnrzjen5,0,Legal,"Purchasing the guide is fine, using the methodologies in the guide to break into a computer without consent is illegal.",Books / Guides,Estrazy,165,1,1,25,Unspecified
1 OZ Pamp REAL Gold Bars,http://silkroad7rn2puhj.onion/?listing=6qMJc9QHNPxUCkD29U1TRAb6qk4Zwg1sMB1pAEwNUjgWJkOG5CaKD2Eta9HMe94r,900,Illegal,"Selling goldbars in itself is legal, it can ofcourse be used to circumvent taxes and others. However the selling and buying of gold bars is not illegal. However these bars were purchased with a stolen creditcard, therefore they are stolen goods and are illegal.",Others,probitexchange,1383,35,2,23,USA
Spotify account for life,http://silkroad7rn2puhj.onion/?listing=vYAT7j1GCtgJ0zRkbkCbmHwK6XbXD8yyVzGSX7Zaq7kpv1PMaRoAYZMTwnrzjen5,6,Depends,"Albeit against the terms of services of Spotify to buy second hand accounts, it is not illegal in itself to buy a username and password as long as it is not considered stolen goods. When you sign in to Spotify, you accept their terms and conditions and thus this can be seen as a void of contract, which is illegal.",Services,609austin14,1397,163,2,23,Unspecified
Ultimate Gaming Laptop: Alienware Core i7-4940MX/32GB/1TB+512SSD,http://silkroad7rn2puhj.onion/?listing=FvgctuzGZOmENcxqJZsx5NQetvbC7NuC7Qeq0TwYfXdszRX9qEvjRAD0veCsswuo,1500,Depends,Is illegal if the laptop is stolen.,Devices,medex33,0,0,0,20,UK
"200mg DNP (2,4-Dinitrophenol) Capsules - 60 Capsules",http://silkroad7rn2puhj.onion/?listing=1nnVjpm4RSx7MEaE4JWWEHaqb23qEeV6G7Rqm2j2JVxVaOaTXwpb4EFU699AcU6k,80,Legal,"Posession of DNP is legal in the Netherlands, however the consumption is not recommended. DNP is even for sale on the regular internet, while the sale of DNP has been prohibited for many years.",Drugs,caliberpharma,105,0,1,18,USA
LED Grow Light for flowering Plant and Hydroponics System,http://silkroad7rn2puhj.onion/?listing=kcrtyNdv2U06nJcUjQcRdhOFJ9eUA4dmVKTHWx4NF3HtBkCk1e2TCDZNC4gDw0pF,86,Legal,It's not illegal to use lights to grow plants,Others,digishop,344,7,1,16,Unspecified
C4 plastic explosives,http://silkroad7rn2puhj.onion/?listing=S6VOzy9tCr1YDZvWNkaJnyAsh9Pe9O1RJKd88crAHgYM6JhGt9RVwRCUQRyOeoep,500,Depends,In the Netherlands you are allowed to work with explosives but they need to be registerd and it needs to be recognized for use by a company. We do not expect these russian-made explosives to be registered.,Weapons,blanco999,0,0,0,13,UK
MP5K submachine gun,http://silkroad7rn2puhj.onion/?listing=4D5Xp3fukq47jttGjMqpP9hGtSopAH54NyQ1qwjQacM0M4FvEvZUu8acPCFQM0HX,350,Illegal,Firearms are prohibited in the Netherlands ,Weapons,blanco999,0,0,0,13,UK
Tickets For ANYTHING! Theme Parks/Concerts/Sporting Events!,http://silkroad7rn2puhj.onion/?listing=tMPQvUraKCnUMWcEARFehaCbEASDd2OMBcbwxHM7KyRWJubK0gqh8s9CsRFKHUWJ,10,Depends,If these tickets are obtained through fraud then it would be illegal. ,Services,TicketMasta,15,10,0,13,Unspecified
Wells Fargo Bank accounts,http://silkroad7rn2puhj.onion/?listing=vDWdHrtRrqhBE4arcmkqu1ZQ84NK8rSsvpM3U5J0jsBokbTBB4swtFAr0N174Hpp,100,Illegal,These are stolen credentials that are being bought and therefore illegal,Data,Hamo1,2627,57,3,12,Unspecified
Jewelry and Luxury Watches ,http://silkroad7rn2puhj.onion/?listing=YcWVfPoOR60qvqbeEWvRKwutMJ3FKnhjE55kHgyYcxDNcfrh2ayANhuXrnd2OAZT,5000,Depends ,"If the jewellery pieces were illegally obtained (eg. stolen, or a fake) then it would be illegal. If in the rare chance that this watch was obtained in a legal way then it would be legal to buy and use it. ",Accessories ,jewls,0,0,0,11,Unspecified
Abortion pills,http://silkroad7rn2puhj.onion/?listing=obwtn7ED4yRKUZEGPdR8UN0rT2xDYPmBqWuSTyVMnnW7BbDQ5UNOfN5yDr3b6cck,60,Depends,Buying unperscribed medicine is not allowed,Drugs,ihaveu2014,0,0,0,11,China
ID Scans of real people,http://silkroad7rn2puhj.onion/?listing=8JNF2oVGQJYUs1pXM0oGSN5JfXn5mrjjzwpqY0xoHM81AnNMnzS4ANCgkpbMUAuJ,50,Illegal,They are stolen identities.,Data,TonyMontana,273,0,1,10,Unspecified
Make cash simple every day!,http://silkroad7rn2puhj.onion/?listing=ocPfQw472TPeem3f3fXEWXkACkGx58VgZjBqU6mMOzqtahPTDmXZ98ZAhgybdH84,15,Legal,"Purchasing the guide is fine, however it may contain methodologies that are illegal to execute.",Books / Guides,TonyMontana,273,0,1,10,Unspecified
ATM Fraud Guide Cheat Cash Machines Under 10 Mins GUIDE Pro Ca,http://silkroad7rn2puhj.onion/?listing=74o3kdbyq3zOWD1MJRGm8dA0518UXTBUMpNwGokwfY93bzCmEKMCoNChCA2ZT3ue,4,Legal,"The action of following the advice might produce some illegal action, but purchasing this and owning it is not. ",Books / Guides,safcjack,584,5,2,10,Unspecified
How To Have Mail Items Delivered Anonymously With No Trace !! MA,http://silkroad7rn2puhj.onion/?listing=ua5nUV6cR6HgHdNbFjHD8ueyO63UYvtGMouf8q8PmEvth8KpgSsdBMRPGHje4SnE,4,Legal,"The advice included might contain illegal actions, however purchasing this item is not illegal. ",Books / Guides,safjack,584,5,2,10,Unspecified
How To Grow Cannabis Like A Pro **No.1 Guide**,http://silkroad7rn2puhj.onion/?listing=P3Kg0JY8cv1q49pVtUWMQAmqQc5F98GO1SvzbHx43njwmNFTgbdwcEbtgVyfT6uH,2,Legal,Owning this ebook is not illegal. Growing cannabis is also not illegal. Consuming it can have tolerance rules in the Netherlands. , Books / Guides,safjack,584,5,2,10,Unspecified
NanoCore Rat 1.2.2.0,http://silkroad7rn2puhj.onion/?listing=WxnbkDyP6MnTKnbu17MkKapzOaF4eDh11JRZODoHQQba33JszVS9v6x8W4117Xqw,2,Legal,"NanoCat RAT is an software that can be used to access victims computers, is not illegal to have it, is illegale to use it",Software,LegitimateBits,1,0,0,10,Unspecified
250 g afghan heroin Pure ,http://silkroad7rn2puhj.onion/?listing=rtmW1qwDXkdPZD3FH4QRy2VP6DE6N223kbPZGAcem7t00kEHcUZRMufFykB0b43A,8000,Illegal,Heroin is illegal in the Netherlands,Drugs,fastfood ,43,18,0,9,UK
5gr Moroccan pollen hash,http://silkroad7rn2puhj.onion/?listing=7jrGDNTF97h6AVoat7Ffn8opUqQ9XgaTFGaJTuQRqyNqJzF2vMWXJ0BdpSbAy2U5,39,Depends,"Only a certain amount of hash can be sold, so there is a limit until it becomes ilegal. ",Drugs,CardingMentor,271,0,1,9,Spain
Pizza Hut - Delivery - 100$ in food for 20$,http://silkroad7rn2puhj.onion/?listing=oC2bU4tCBYNhhroaFUmjOjpKmPUkcsoEuegCYPFZoS8K9kmD5MoGvRSWem67SjBB,15,Legal,Just getting food from someone isnt illegal,Services,MrF00D,0,0,0,8,Unspecified
Guide To postal Smuggling,http://silkroad7rn2puhj.onion/?listing=uPGzhZfaXquSBXEOSM8NRbXaEKJk7c3qr0eOY0pwqYCrvG5BT2PkSm0XvJ7smzWS,3,Legal,"Buying the guide is not illegal, but is illegal to use it.",Books / Guides,kronen6667,5,0,0,8,Unspecified
Gold AAA Rolex replica + box + paperwork + seal,http://silkroad7rn2puhj.onion/?listing=PBmCha9WvR0jpW4USGrFbMYdXUtUCRoSTPV1pUNZkM8Pg1jz8P5ZaS3xmmFp3u7K,350,Illegal,You are buying a counterfeit that also has forged papers. This is stolen intellectual property and fraud.,Accessories ,TheWolfOfDarknet,5,0,0,7,USA
"0.5 gram HEROIN NR.3, STRAIGHT FROM THE BLOCK 100%!! FREE SHIPPI",http://silkroad7rn2puhj.onion/?listing=ozek6pWAt16Tp2u0O4BUp7OZBxvuXAx01Skv77wpxs7ahravjbENYSnZEWHbX6bN,40,Illegal,Hard drugs such as heroin are illegal in the Ntherlands. ,Drugs,heroking,15,0,0,7,Netherlands
3.5g Extremely Potent Penis Envy free shipping ,http://silkroad7rn2puhj.onion/?listing=UQbMnkQ2whU0hSANxjU5U61RwnCgpe78uYHW8YNu6gudzvqmT9en5V3q75MkYHhH,25,Illegal,Mushrooms are illegal in the Netherlands since 2008.,Drugs,Firstbornsun,175,0,1,6,Canada
How to make EASY MONEY 3 Tutorials to start making LEGAL money T,http://silkroad7rn2puhj.onion/?listing=m2zerB1ozTtMPRXXET4bK9CR8YcbVJW70KbrNSTAkBMzTjNX2EzAC2SAQubk4yg4,3,Legal,"This product is a zip file with tutorials on how to 'start making legal money'. Regardless of whether the content really does advice on how to make legal money, purchasing this should be legal. ",Books / Guides,verylightly65013,60,0,0,6,Unspecified
Production original license plates,http://silkroad7rn2puhj.onion/?listing=yjFDntSEFFBO2yg5YJFxn4twyvNTZF2Np8RRqjWwpY9eMfZkpfWRYEBNzPeOUVa9,341,Illegal,Is illegal to make and sell counterfeit license plates,Others,prinzvonsachsen,0,0,0,5,Italy
Carabine CZ 512 (.22) semi-automatic rifle,http://silkroad7rn2puhj.onion/?listing=1KSAd1vSXCmmmNTAegy3MGjUwheBAYK2hb2BSnTpp5QQFhRmEDcQKAk6jE8jcGaA,1000,Illegal,Firearms are prohibited in the Netherlands ,Weapons,TheGunnerMan,0,0,0,4,Belgium
IPHONE 6 S 64GO,http://silkroad7rn2puhj.onion/?listing=ueUMzgKgkVAwv99Hdx69J2EZObkWvUOdzhqoDzJpJKa5HYBnM7kUxptAFTX2nmVa,300,Depends,"It is not illegal to buy a phone but it depends how the seller got it. If it is stolen or bought with a stolen credit card, it is actually illegal to buy the phone.",Devices,Applestore,0,0,0,4,USA
Cloned cards,http://silkroad7rn2puhj.onion/?listing=cqzzOYHtAaZzN6o4ZbWRNbaczPSNhoyATn1f08OAYozmjbd841OESpgF3zTabFbv,150,Illegal,Selling/buying/making cloned cards is illegal,Data,Charki,0,0,0,4,Europe
Camel blue cigars,http://silkroad7rn2puhj.onion/?listing=YuzBq4AdCdP3xXpf5S5d2sCOo2tedxu2gj3Mc4qeW4WJRApKSjoJQqW3gEW02F1Y,25,Legal,It is not illegal to buy cigars,Tobacco ,elcazadorba,0,0,0,4,Argentina
Adderall 30MG Orange MA30,http://silkroad7rn2puhj.onion/?listing=DOxh0SSAnUKugVh16tQemmc2HarKHR5Nerue9BfmVrU2B3s7m7bMh5CqUt1b0upe,20,Illegal,"Adderall is an illegal medication in the Netherlands, although legal in some other countries (eg. USA)",Drugs,buccaneer,1487,11,2,4,USA
100mg Viagra x4,http://silkroad7rn2puhj.onion/?listing=8sPYTf7Sdo5R7zhqQ0SVWU0YySm3tJDr2SDJyAaRoUhjJFOZEfub1uzpBafukjaa,5,Legal,These can be bought online in Dutch apothecaries as well.,Drugs,TORsupplier,0,0,0,4,Germany
** Wifi Hacking Guide **,http://silkroad7rn2puhj.onion/?listing=V0QoOmBRz6o4XeV1fTUO01ErGeZBKJ2eJGHWsKogFRacvvTRDodCchujCHmNRbsa,2,Legal,"Selling a wifi hacking guide is legal, using the methodologies described is probably not.",Books / Guides,toughguy,35,5,0,4,Unspecified
Make your own Physical Dutch ID and Driver license,http://silkroad7rn2puhj.onion/?listing=SH7g3tu8sFGCG3sk8yOOjYtbqUyN2AaHHWpADX8vdEyk8eJ5TWG2uzTZJFn0FBGP,1600,Illegal,Counterfeiting documents is illegal,Services,FISHER,0,0,0,3,Netherlands
World of Warcraft account (with 5 months gametime),http://silkroad7rn2puhj.onion/?listing=vzEyyASxYgzYM0gWcUE30Ba9Ar5gRhsAXwzKwG7KowjzvEKOYQEYReWSKRzayfbM,130,Depends,"It goes against the terms of service. You wont get arrested or anything for it, but the person who bought the account can be banned ",Data,AnonAmazonAffiliate,0,0,0,3,Australia
Saliva Divinorum - live medium plant,http://silkroad7rn2puhj.onion/?listing=MhtHTC7x1ZAa3aTc0WvxMWX89D9wR4TcbBkuDgg57gVy7pR70BuMXGHVKGGbAa4c,40,Legal,you are allowed to have weedplants in the netherlands (up to 3 or 5),Drugs,Cabanabis,15,0,0,3,France
3D guns plans,http://silkroad7rn2puhj.onion/?listing=Yh1uBdksBCz0pCmT70AR2DJOe3Z8cq31OtkPNK6ONvN1yxJvxKBpPK3tCRre7jVJ,30,Illegal,"Owning the plans is not illegal, printing/ assembling the weapon is probably illegal. If it is able to fire ammunition, it is concidered a weapon, thus illegal in the Netherlands",Software,elcapo01,0,0,0,3,Unspecified
Human Kidney,http://silkroad7rn2puhj.onion/?listing=2bsEokb56dmo0hZ3c4fhT0J9moUZCEx5fd0JDaD95pn4NAwq5RNOQWM19eQBjB6E,3000,Illegal,Human organ trafficing is highly illegal,Services,bodypartsguy,0,0,0,2,Unspecified
1 oz Fire Meth custom order (dealer price),http://silkroad7rn2puhj.onion/?listing=RZ4GyOPCZhXQz9EjnXUpf0EuDB4dDufVJYb7nq0BOWRBVWm7u5mP4q88r2bvk7Eu,460,Illegal,Hard drugs such as meth are illegal in the Netherlands.,Drugs,kiingkong,5,20,0,2,USA
5 x 50 Euro Notes,http://silkroad7rn2puhj.onion/?listing=cO2tNdbEwbBy99H0aKBMxjYr4c4vOpNr3DYDg1JTRKGQJPQkYRvM1J3tmwczaqeS,45,Illegal,Counterfeiting bills is illegal,Money,CheapNugs,1,0,0,2,UK
WAVEEX - Handychip,http://silkroad7rn2puhj.onion/?listing=19OjTwO2OUScggWsJrtMfAJBXaW45EXvDmTWWfOj1eBWBYCKDwVkwenJ58BzCZjG,17,Legal,"Apparently it is some sort of chip that reduces the amount of radiation your smartphone emits by ""positively changing the low-frequency magnetic fields that are formed.""",Others,CrazyAchmed,0,0,0,2,Austria
10000 onions sites,http://silkroad7rn2puhj.onion/?listing=RmZQAja683nUZRWTG1ReuFQQZOKktHr9uFOuppqmfS66hSOqGdJ1kZF9nQjUYQSG,1,Legal,"We think they are selling URL's to websites in the deep web, which is legal",Data,SRDF,0,0,0,2,Unspecified
Contract kill,http://silkroad7rn2puhj.onion/?listing=vg2VXaZ3Ayh92w0CGA4tXVN9UPP0eARPgGj5h9wjwTgoDgrMhj555G4PVGOzHeDq,10000,Illegal,Hiring somebody to kill a person is illegal,Services,interghostface,0,0,0,1,Unspecified
Ultimate Collection 3D Movies - Every Movie Made Worldwide 400+ ,http://silkroad7rn2puhj.onion/?listing=7yh7KxRjm5b61utegHOOPxnE6a7QjpGecqbobsMCno8cWr73zKEC7sH3GDHrtQKK,1000,Depends ,"If the movies were stolen and the buyer knows it then it ould be illegal. Otherwise, legal. ",Others,ZipLine,0,0,0,1,USA
