What,Link,Price (in $),Legal/Illegal/Depends,Why,Category,Seller,Positive feedback (of the seller),Negative feedback (of the seller),Number of stars,Number of posts,Ships from
glock semi auto 9mm pistol,http://silkroad7rn2puhj.onion/?listing=qBaHM3jYWPSPgNdp68Urj4NQRt3RpzJU1jcBbAZyQsCw5fazdufBnsS4aKJE9TZy,500,Illegal,Obtaining weapons such as guns is illegal in the Netherlands.,Weapons,rellifeel,0,0,0,1,India
Over 1 million users UK retailer db database for sale,http://silkroad7rn2puhj.onion/?listing=4bdrmyKtEMp4bNa2c8GsjGCZmcq0QfuH8OzhB9RFK50mGZbjWhR6qTUQv9Q0e0Hb,400,Illegal,They are selling a stolen database from a UK supermarkt chain,Data,nubro,0,0,0,1,Unspecified
IPHONE 6S 64GB,http://silkroad7rn2puhj.onion/?listing=kBtpQdWUW0JPypKh5eBkj4a2KcegRG62HpeYG1sd12soe3MZWO95FZwQ2QwHWs0e,190,Illegal,The iphone was otained illegally (i.e. stolen) so purchasing and using such an item is illegal. ,Devices,Berna9876,0,0,0,1,Germany
1 gram of Australian DMT,http://silkroad7rn2puhj.onion/?listing=TAz9dJcE1fWPh8BrSxmb48qR9eMAKRWdRMcvU51KZMY8HaoaNP2FMgWJAhKKygpE,170,Illegal,Hard drugs such as DMT are illegal in the Netherlands. ,Drugs,Macme,0,0,0,1,Australia
Bank of America US Bank Account + Coinbase LV 2 ,http://silkroad7rn2puhj.onion/?listing=d1txssJ6yqR2kd3EyKWMzJSSfJXXTFFx7zjogshUXzK7SCBFOYSBgjUBtsZAyexu,160,Illegal,"Is illegal to buy bank accounts online, the only way to own a legal bank account is to submit a form to that bank.",Data,Feelit11,0,0,0,1,Unspecified
Anonymous wallpaper printed on wood Art !,http://silkroad7rn2puhj.onion/?listing=fZNaEMj4Ks2anZ0cyQbyRxfjzbhaY7s4W5TaF2UQhKrKkroX6DMM2ruqHREfNxZh,100,Depends,A piece of art is not illegal unless it is stolen from someone who created it then they would be commiting fraud. ,Others ,NLKINGPIN,0,0,0,1,Netherlands
£50 GBP Cash - Cash out your bitcoins fast and easy,http://silkroad7rn2puhj.onion/?listing=JyCcYoSu5sVG9Gj4Y8t9S5grgBbh22yAp2dCevxYbGeaPCTn0AmS6G9cJaA0RzA6,60,Legal,Trading bitcoin for British Pounds bank notes is allowed,Money,Bandler123,0,0,0,1,UK
Military.com LFI Vulnerability / Zero-Day,http://silkroad7rn2puhj.onion/?listing=YUUpU43Pj8EEsPMn11Nu9BuDbm03SsBrAWVUQNjzKp434Edt5rc4tN7Jx7BEpCwq,60,Legal,Buying and selling vulnerabilities is fine. Potentially you could buy this to mitigate any damages caused by the Zero-Day. Exploiting the vulnerability however is illegal,Data,TheLulzBoat,0,0,0,1,Unspecified
30 x 10mg RITALIN (original),http://silkroad7rn2puhj.onion/?listing=j97Qg1B6M1SFN6d5XVE28Bju2mmfq5CO40cZ1eVAUnGfgkZ56ev3fUmX6M4kF7y9,55,Depends,You are not allowed own Ritalin without a prescription.,Drugs,cheapritalineu,0,0,0,1,Europe
"
$1000 Paypal Account (Fresh From Oven)",http://silkroad7rn2puhj.onion/?listing=B7k2Pnxrzo8sJ3ACKU18ZEjcODGTq9Rr62hKcU1S8x9Gp0JzT0wsDVKSYRkDP2vJ,50,Illegal,Selling somebody elses Paypal info is against the law,Data,endofmypain,0,0,0,1,Unspecified
FlexiSPY EXTREME cell phone Spy Software For iOS and Android,http://silkroad7rn2puhj.onion/?listing=XQAvHB2z6BcHjQp2V9Xd1YzwDBhzbbezrfkzgapcbFkAVO2qNPJBo8xs0VfbwAQc,49,Legal,It is legal to buy it and use it on your own devices. It is illegal to use this on devices without prior consent of the owner.,Software,aesopgrow,0,0,0,1,Unspecified
"Boingo mobile WiFi (+VPN) services worldwide, 1 year subscripti",http://silkroad7rn2puhj.onion/?listing=6Y6QQ8Xk1ATBT19We0v1YtMWmRsfYhMU7GjMD6w57D6P45kY4UPRBaoorUHE3TYy,40,Legal,"In this case, the seller states that the accounts are not hacked or stolen. ",Data,tEcks,0,0,0,1,Unspecified
MCat - Meow Meow - Mephadrone,http://silkroad7rn2puhj.onion/?listing=7Qx5GdRUzdb56TO8A7w7HspXgw61JHQFXB0dfRyVvQPqhcohZZegFJ4n6zcD7sKU,10,Illegal,Selling/buying high risk drug is illegal,Drugs,Mdog,0,0,0,1,Unspecified
How To Get Your Doctor To Prescribe Painkillers,http://silkroad7rn2puhj.onion/?listing=D2p0OvODZHhbJTwX4pO2YqzKoaf5QpRUe5TtqgwDpTfynRKf6YXTCNcrn9k3n1MG,3,Depends,"It is a manual that doctors use as a reference to when to prescribing opiate painkillers. So it would just be selling a book, which is legal, unless it was copied / stolen because then you have copyright infringement.",Books / Guides,VendingMachine13,0,0,0,1,Unspecified
Gift Cards,http://silkroad7rn2puhj.onion/?listing=HPPyToXAk5rGVhpvC6UOOayOhOeX1sD87TwP6JQeD6nYdRJgNcvZ3hoZwHxm11hw,1,Depends,"Obtaining them is not illegal. Using them is also not illegal unless these gift cards were illegally obtained (eg. stolen, fabricated...) then it would not be legal to use them.  ",Data,glover,0,0,0,1,USA
Wallpapers,http://silkroad7rn2puhj.onion/?listing=bYq7rgjr6Md1H96OmMEwnCv1tHSHW3uxQYu75So1dFqmEkzqw4aX7MOpTfxqXfco,0,Legal,"If they are ""normal"" wallpapers it is completely legal. But if they are wallpapers of child pornography, for example, then it is illegal.",Others,dumbguy,0,0,0,1,West Hawaii
